id,templateId,teamId,actorProfileId,eventType,description,metadata,createdAt
11ad9a39-1f62-4c5a-9e67-875396d1dcf5,9d737160-0855-45aa-aae4-79abdce434f2,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,version_created,Versão 2.0 criada a partir da versão 1.0,"{""versionNumber"": 2, ""sourceTemplateId"": ""8eef912d-2687-4464-b051-138c0e1ffd32""}",2026-07-12 20:42:52.389+00
87b25956-9f82-4711-96f6-cc03dd9a0b80,9d737160-0855-45aa-aae4-79abdce434f2,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 2}",2026-07-12 20:44:29.057+00
5db7ce2e-b84e-46ff-95b6-261e089942ce,9d737160-0855-45aa-aae4-79abdce434f2,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 2}",2026-07-12 20:44:29.365+00
ea2a00e7-844b-4bae-88be-ea550b742aff,95bb2fbd-6ce4-4000-b2b8-987888648726,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,created,Template criado,"{""versionNumber"": 1}",2026-07-15 15:16:22.358+00
c93ffc99-f2d8-43bd-a5cc-41d928780c35,49666355-3ac8-484c-b183-35312ed0a9b5,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,created,Template criado,"{""versionNumber"": 1}",2026-07-15 15:17:20.574+00
f3345d82-b23c-4246-bf49-0374561bdb75,49666355-3ac8-484c-b183-35312ed0a9b5,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-15 15:18:48.104+00
fd92e769-22d1-4437-9685-b4c903667cfc,49666355-3ac8-484c-b183-35312ed0a9b5,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-15 15:19:08.09+00
f79bba61-acfb-46f2-9cad-85ffbd38a34d,49666355-3ac8-484c-b183-35312ed0a9b5,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 1}",2026-07-15 15:19:08.555+00
27f1f36b-302f-4df6-9400-5ac53bfff758,f7f28128-a38f-4945-a9c0-3a385750e2f9,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,created,Template criado,"{""versionNumber"": 1}",2026-07-16 11:56:35.073+00
f4f7c1f9-5c23-45dd-8943-76163800454f,f7f28128-a38f-4945-a9c0-3a385750e2f9,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-16 11:59:18.376+00
c2c9b369-66d0-4160-8751-a948b992dc0c,f7f28128-a38f-4945-a9c0-3a385750e2f9,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-16 11:59:19.674+00
a0885fbc-31c7-4f52-a531-8bcf31c9008a,f7f28128-a38f-4945-a9c0-3a385750e2f9,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 1}",2026-07-16 11:59:20.173+00
46095125-e1ae-44ed-aae5-6098ca058a5e,45aca8f3-5e79-4bfa-a19f-e007dcfb173c,7b577c22-5513-42cc-ab19-2bf867e14ebc,0c96a57e-6cc1-400f-bf3a-5740b699ac21,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-17 12:36:27.552+00
785df3c1-2e1f-48bc-999d-55486079db38,45aca8f3-5e79-4bfa-a19f-e007dcfb173c,7b577c22-5513-42cc-ab19-2bf867e14ebc,0c96a57e-6cc1-400f-bf3a-5740b699ac21,published,Template publicado,"{""versionNumber"": 1}",2026-07-17 12:36:28.052+00
